# SHOT START
# legend_version=3
# time_base=ms_since_boot
# units: pressure=bar, flow=ml_s, output=percent, derivative=bar_s
# raw_p = raw pressure sensor reading
# flt_p = filtered pressure used by controller
# sp_raw = raw incoming pressure setpoint currently held by the profile engine
# sp_flt = filtered pressure setpoint actually used internally by the controller
# sp_recipe = visual recipe reference; ideal profile target for display/comparison
# sp_ctrl = control reference after internal conditioning; command seen by control logic
# sp_flt_d = derivative of filtered pressure setpoint
# ctrl_out = final controller output command in percent
# pump_duty = internal normalized pressure-branch duty estimate
# pump_flow = estimated pump flow
# coffee_flow = estimated outflow through puck / coffee flow
# u_raw = pressure branch output after clamp and before final slew limiter
# u_applied = pressure branch output after final slew limiter
# u_delta = u_raw - u_applied; limiter intervention magnitude
# limiter_active_up = 1 when rise slew limiter is active
# limiter_active_down = 1 when drop slew limiter is active
# error_integral = integral state of legacy pressure controller
# u_unclamped_raw = controller output before 0..100 clamp
# u_clamped_raw = controller output after 0..100 clamp and before slew limiter
# u_clamp_delta = u_unclamped_raw - u_clamped_raw
# clamp_active_high = 1 when output was clipped by upper clamp
# clamp_active_low = 1 when output was clipped by lower clamp
# u_fb = legacy pressure feedback contribution
# u_ff_hold = static feedforward contribution
# u_ff_dyn = dynamic feedforward contribution
# u_ff_dyn_raw = raw dynamic feedforward request before FF-path LPF and slew limiting
# ff_pressure_w = pressure-window weight applied to dynamic FF
# ff_above_w = above-target suppression weight applied to dynamic FF
# ff_gamma = ramp-dependent gamma multiplier applied to dynamic FF
# u_ff_total = total feedforward contribution
# ramp_hold_active = 1 when the downstream drop-rate hold is active during ramp-up
# drop_rate_active = active downstream output drop-rate cap in percent per second
# mpc_shadow_enabled = 1 when shadow MPC is being computed in parallel
# mpc_u_shadow = total output suggested by shadow MPC; not applied to actuator in shadow stage
# mpc_u_ss = steady-state component suggested by shadow MPC
# mpc_u_trim = corrective trim component suggested by shadow MPC
# mpc_p1_pred = one-step pressure prediction from shadow MPC model
# mpc_pn_pred = terminal pressure prediction at end of shadow MPC horizon
# mpc_qout_est = estimated outflow / load used by shadow MPC model
# mpc_qout_raw = instantaneous outflow / load estimate before shadow-MPC LPF
# mpc_residual = measured minus predicted pressure residual for shadow MPC
# mpc_residual_bias = low-pass residual bias term added to shadow predictions
# mpc_cost = shadow MPC objective value
# power_cmd = floating-point power command sent to pump stage before integer quantization
# power_psm_quantized = integer power actually sent to PSM
# power_quant_residual = sigma-delta residual kept for next quantization step
# tach_period_us = measured time between valid tach pulses in microseconds
# tach_rpm_inst = instantaneous RPM derived from tach_period_us and pulses-per-revolution
# tach_rpm_ema = exponentially filtered published RPM intended for easier visual analysis
# tach_rpm_count_window = RPM derived from ISR-accepted pulse counts over a fixed time window
# tach_rpm_count_window_pcnt_raw = RPM derived from raw PCNT hardware counts over the same window (diagnostic only)
# tach_pcnt_ratio = raw PCNT pulse count divided by ISR-accepted pulse count in the current window
# tach_rpm_pub = RPM value selected for operational use after comparing period and count-window estimates
# tach_quality_ok = 1 when period and count-window RPM agree within tolerance
# tach_rpm_source = 0=none, 1=period branch, 2=count-window fallback
# tach_pulse_count = total number of valid tach pulses seen since the last reset
# tach_glitch_rejects = number of tach edges rejected as implausibly fast glitches or plausibility failures
# tach_pcnt_healthy = 1 when raw PCNT windows have matched ISR-accepted windows for multiple consecutive updates
# tach_timeout = 1 when no recent tach pulse is available and RPM is forced to zero
ms,raw_p,flt_p,sp_raw,sp_flt,sp_recipe,sp_ctrl,sp_flt_d,ctrl_out,pump_duty,pump_flow,coffee_flow,u_raw,u_applied,u_delta,limiter_active_up,limiter_active_down,error_integral,u_unclamped_raw,u_clamped_raw,u_clamp_delta,clamp_active_high,clamp_active_low,u_fb,u_ff_hold,u_ff_dyn,u_ff_dyn_raw,ff_pressure_w,ff_above_w,ff_gamma,u_ff_total,ramp_hold_active,drop_rate_active,mpc_shadow_enabled,mpc_u_shadow,mpc_u_ss,mpc_u_trim,mpc_p1_pred,mpc_pn_pred,mpc_qout_est,mpc_qout_raw,mpc_residual,mpc_residual_bias,mpc_cost,power_cmd,power_psm_quantized,power_quant_residual,tach_period_us,tach_rpm_inst,tach_rpm_ema,tach_rpm_count_window,tach_rpm_count_window_pcnt_raw,tach_pcnt_ratio,tach_rpm_pub,tach_quality_ok,tach_rpm_source,tach_pulse_count,tach_glitch_rejects,tach_pcnt_healthy,tach_timeout
34750,8.425,8.057,9.000,9.000,9.000,9.000,0.000,63.46,0.6346,4.755,0.000,63.46,63.46,0.00,0,0,-2.36048,63.46,63.46,0.00,0,0,63.46,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,79.33,74.33,5.00,8.064,8.097,5.554,3.089,0.405,-0.001,9.722,63.46,63,-0.0213,7007,4281.43,3138.42,3172.22,3904.27,1.231,3172.22,0,2,584,5412,0,0
34885,8.882,8.834,9.000,9.000,9.000,9.000,0.000,50.09,0.5009,4.451,0.000,50.09,50.09,0.00,0,0,-2.38540,50.09,50.09,0.00,0,0,50.09,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,56.28,55.42,0.86,8.858,8.976,3.927,0.000,0.032,0.030,0.511,50.09,51,-0.4164,8426,3560.41,3154.92,3172.22,3904.27,1.231,3172.22,0,2,601,5616,0,0
34987,8.087,8.329,9.000,9.000,9.000,9.000,0.000,58.54,0.5854,4.365,0.000,58.54,58.54,0.00,0,0,-2.41765,58.54,58.54,0.00,0,0,58.54,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,61.82,57.88,3.94,8.349,8.444,3.618,3.820,-0.290,0.003,2.932,58.54,59,-0.4111,7820,3836.32,3161.15,3172.22,3904.27,1.231,3172.22,0,2,612,5760,0,0
35124,7.690,7.703,9.000,9.000,9.000,9.000,0.000,71.96,0.7196,4.608,0.000,71.96,71.96,0.00,0,0,-2.45655,71.96,71.96,0.00,0,0,71.96,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,80.80,75.80,5.00,7.706,7.717,5.104,8.976,-0.019,-0.025,14.198,71.96,72,-0.2648,8570,3500.58,3284.76,3405.30,4593.20,1.349,3500.58,1,1,626,5902,0,0
35264,8.961,8.722,9.000,9.000,9.000,9.000,0.000,53.94,0.5394,4.483,0.000,53.94,53.94,0.00,0,0,-2.50756,53.94,53.94,0.00,0,0,53.94,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,60.42,58.85,1.57,8.741,8.832,4.112,0.000,0.251,0.021,0.839,53.94,54,0.0089,6555,4576.66,3343.58,3405.30,4593.20,1.349,3405.30,0,2,642,6178,0,0
35398,8.196,8.403,9.000,9.000,9.000,9.000,0.000,59.10,0.5910,4.325,0.000,59.10,59.10,0.00,0,0,-2.54193,59.10,59.10,0.00,0,0,59.10,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,60.77,57.26,3.50,8.421,8.507,3.488,3.970,-0.249,0.001,2.242,59.10,59,0.2580,7260,4132.23,3377.61,3405.30,4593.20,1.349,3405.30,0,2,659,6402,0,0
35501,7.808,7.955,9.000,9.000,9.000,9.000,0.000,69.16,0.6916,4.442,0.000,69.16,69.16,0.00,0,0,-2.57327,69.16,69.16,0.00,0,0,69.16,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,73.61,68.61,5.00,7.963,7.998,4.307,8.090,-0.174,-0.020,8.483,69.16,69,0.2207,8066,3719.32,3386.52,3402.36,4941.53,1.452,3402.36,0,2,669,6507,0,0
35637,8.846,8.597,9.000,9.000,9.000,9.000,0.000,57.93,0.5793,4.460,0.000,57.93,57.93,0.00,0,0,-2.63650,57.93,57.93,0.00,0,0,57.93,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.09,61.74,2.36,8.610,8.673,4.209,1.343,0.265,0.010,1.442,57.93,58,-0.1016,7509,3995.21,3398.26,3402.36,4941.53,1.452,3402.36,0,2,684,6761,0,0
35739,8.819,8.786,9.000,9.000,9.000,9.000,0.000,55.86,0.5586,4.336,0.000,55.86,55.86,0.00,0,0,-2.65043,55.86,55.86,0.00,0,0,55.86,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,56.36,55.19,1.17,8.807,8.910,3.447,0.619,0.017,0.016,0.146,55.86,56,-0.0435,8559,3505.08,3420.28,3402.36,4941.53,1.452,3505.08,1,1,694,6842,0,0
35873,8.077,8.236,9.000,9.000,9.000,9.000,0.000,65.67,0.6567,4.343,0.000,65.67,65.67,0.00,0,0,-2.70206,65.67,65.67,0.00,0,0,65.67,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,67.76,63.20,4.56,8.247,8.300,3.815,6.416,-0.189,-0.012,4.195,65.67,66,0.0280,8309,3610.54,3327.40,3168.65,3643.95,1.150,3168.65,0,2,709,7011,0,0
36011,8.580,8.421,9.000,9.000,9.000,9.000,0.000,62.78,0.6278,4.426,0.000,62.78,62.78,0.00,0,0,-2.76625,62.78,62.78,0.00,0,0,62.78,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,68.32,64.86,3.46,8.429,8.466,4.274,3.998,0.167,-0.004,2.769,62.78,63,0.0995,8584,3494.87,3249.93,3168.65,3643.95,1.150,3168.65,0,2,725,7175,0,0
36144,8.788,8.766,9.000,9.000,9.000,9.000,0.000,58.84,0.5884,4.315,0.000,58.84,58.84,0.00,0,0,-2.79188,58.84,58.84,0.00,0,0,58.84,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,58.77,57.46,1.31,8.783,8.866,3.536,1.686,0.008,0.010,0.224,58.84,59,0.0237,9664,3104.30,3202.41,3168.65,3643.95,1.150,3104.30,1,1,738,7327,0,0
36284,8.469,8.530,9.000,9.000,9.000,9.000,0.000,62.27,0.6227,4.285,0.000,62.27,62.27,0.00,0,0,-2.82805,62.27,62.27,0.00,0,0,62.27,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,62.58,59.81,2.77,8.542,8.598,3.602,4.431,-0.081,-0.004,1.433,62.27,63,-0.2432,7252,4136.79,3192.73,3182.56,4243.42,1.333,3182.56,0,2,754,7531,0,0
36384,8.547,8.507,9.000,9.000,9.000,9.000,0.000,63.10,0.6310,4.303,0.000,63.10,63.10,0.00,0,0,-2.85897,63.10,63.10,0.00,0,0,63.10,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.93,62.00,2.93,8.516,8.558,3.846,4.562,0.035,-0.005,1.717,63.10,63,0.1527,9183,3266.91,3205.94,3182.56,4243.42,1.333,3266.91,1,1,764,7679,0,0
36523,8.667,8.640,9.000,9.000,9.000,9.000,0.000,62.29,0.6229,4.292,0.000,62.29,62.29,0.00,0,0,-2.89465,62.29,62.29,0.00,0,0,62.29,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,63.45,61.33,2.12,8.650,8.699,3.814,3.522,0.021,-0.000,0.833,62.29,63,-0.4020,7031,4266.82,3194.53,3182.56,4243.42,1.333,3182.56,0,2,780,7848,0,0
36656,8.686,8.682,9.000,9.000,9.000,9.000,0.000,62.35,0.6235,4.267,0.000,62.35,62.35,0.00,0,0,-2.92365,62.35,62.35,0.00,0,0,62.35,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,62.46,60.61,1.86,8.693,8.745,3.708,3.537,-0.007,0.000,0.604,62.35,62,0.2544,6904,4345.31,3296.35,3403.18,4748.63,1.395,3403.18,0,2,796,8036,0,0
36795,8.677,8.678,9.000,9.000,9.000,9.000,0.000,62.95,0.6295,4.258,0.000,62.95,62.95,0.00,0,0,-2.95296,62.95,62.95,0.00,0,0,62.95,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,63.04,61.15,1.89,8.688,8.733,3.737,3.857,-0.011,-0.001,0.647,62.95,63,-0.3103,6331,4738.59,3348.49,3403.18,4748.63,1.395,3403.18,0,2,813,8225,0,0
36895,8.670,8.672,9.000,9.000,9.000,9.000,0.000,63.40,0.6340,4.258,0.000,63.40,63.40,0.00,0,0,-2.97260,63.40,63.40,0.00,0,0,63.40,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,63.73,61.79,1.94,8.680,8.720,3.793,4.045,-0.011,-0.002,0.698,63.40,63,0.2740,6629,4525.57,3368.18,3403.18,4748.63,1.395,3403.18,0,2,824,8352,0,0
37036,8.709,8.710,9.000,9.000,9.000,9.000,0.000,63.64,0.6364,4.256,0.000,63.64,63.64,0.00,0,0,-3.00818,63.64,63.64,0.00,0,0,63.64,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,63.94,62.23,1.71,8.718,8.755,3.836,3.954,-0.009,-0.002,0.539,63.64,64,0.1411,6440,4658.39,3437.45,3470.68,4439.24,1.279,3470.68,0,2,840,8525,0,0
37171,8.758,8.754,9.000,9.000,9.000,9.000,0.000,63.58,0.6358,4.248,0.000,63.58,63.58,0.00,0,0,-3.03121,63.58,63.58,0.00,0,0,63.58,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,63.52,62.08,1.44,8.762,8.800,3.820,3.774,-0.004,-0.001,0.368,63.58,64,-0.2010,6757,4439.84,3453.67,3470.68,4439.24,1.279,3470.68,0,2,857,8722,0,0
37310,8.762,8.763,9.000,9.000,9.000,9.000,0.000,63.89,0.6389,4.243,0.000,63.89,63.89,0.00,0,0,-3.05254,63.89,63.89,0.00,0,0,63.89,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,63.72,62.33,1.39,8.770,8.804,3.831,3.926,-0.008,-0.001,0.350,63.89,64,0.0564,7173,4182.35,3514.02,3730.94,5511.62,1.477,3730.94,0,2,873,8899,0,0
37446,8.792,8.777,9.000,9.000,9.000,9.000,0.000,64.14,0.6414,4.244,0.000,64.14,64.14,0.00,0,0,-3.07381,64.14,64.14,0.00,0,0,64.14,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.14,62.83,1.31,8.784,8.814,3.883,3.934,0.009,-0.001,0.312,64.14,65,-0.4645,6191,4845.74,3619.88,3730.94,5511.62,1.477,3730.94,0,2,889,9087,0,0
37549,8.814,8.800,9.000,9.000,9.000,9.000,0.000,64.12,0.6412,4.241,0.000,64.12,64.12,0.00,0,0,-3.08628,64.12,64.12,0.00,0,0,64.12,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.00,62.83,1.17,8.806,8.836,3.883,3.846,0.009,-0.001,0.246,64.12,64,-0.1637,7682,3905.23,3690.14,3730.94,5511.62,1.477,3905.23,1,1,899,9195,0,0
37683,8.787,8.790,9.000,9.000,9.000,9.000,0.000,64.59,0.6459,4.242,0.000,64.59,64.59,0.00,0,0,-3.10469,64.59,64.59,0.00,0,0,64.59,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.60,63.36,1.24,8.796,8.821,3.922,4.102,-0.009,-0.002,0.284,64.59,65,0.0490,6948,4317.79,3621.35,3334.33,5160.27,1.548,3334.33,0,2,915,9384,0,0
37821,8.825,8.815,9.000,9.000,9.000,9.000,0.000,64.64,0.6464,4.244,0.000,64.64,64.64,0.00,0,0,-3.12227,64.64,64.64,0.00,0,0,64.64,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.72,63.63,1.09,8.820,8.844,3.956,3.988,0.006,-0.001,0.218,64.64,65,-0.0002,7025,4270.46,3481.48,3334.33,5160.27,1.548,3334.33,0,2,930,9569,0,0
37958,8.809,8.813,9.000,9.000,9.000,9.000,0.000,64.99,0.6499,4.246,0.000,64.99,64.99,0.00,0,0,-3.13881,64.99,64.99,0.00,0,0,64.99,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,65.17,64.06,1.11,8.817,8.839,3.990,4.136,-0.009,-0.002,0.230,64.99,65,-0.4742,6869,4367.45,3409.67,3334.33,5160.27,1.548,3334.33,0,2,946,9796,0,0
38060,8.817,8.822,9.000,9.000,9.000,9.000,0.000,65.08,0.6508,4.248,0.000,65.08,65.08,0.00,0,0,-3.14931,65.08,65.08,0.00,0,0,65.08,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,65.29,64.24,1.05,8.827,8.847,4.008,4.121,-0.010,-0.002,0.208,65.08,66,-0.4700,6351,4723.67,3398.64,3414.76,5609.97,1.643,3414.76,0,2,957,9929,0,0
38193,8.833,8.839,9.000,9.000,9.000,9.000,0.000,65.17,0.6517,4.248,4.186,65.17,65.17,0.00,0,0,-3.16355,65.17,65.17,0.00,0,0,65.17,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,65.28,64.33,0.95,8.843,8.863,4.013,4.094,-0.011,-0.001,0.167,65.17,66,-0.3336,9853,3044.76,3406.51,3414.76,5609.97,1.643,3414.76,0,2,972,10093,0,0
38293,8.848,8.848,9.000,9.000,9.000,9.000,0.000,65.25,0.6525,4.249,4.186,65.25,65.25,0.00,0,0,-3.17268,65.25,65.25,0.00,0,0,65.25,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,65.35,64.45,0.90,8.852,8.871,4.025,4.085,-0.004,-0.001,0.149,65.25,65,0.0751,6614,4535.83,3409.48,3414.76,5609.97,1.643,3414.76,0,2,983,10183,0,0
38430,8.857,8.860,9.000,9.000,9.000,9.000,0.000,65.36,0.6536,4.249,4.187,65.36,65.36,0.00,0,0,-3.18544,65.36,65.36,0.00,0,0,65.36,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,65.41,64.59,0.83,8.864,8.882,4.035,4.084,-0.007,-0.001,0.126,65.36,65,-0.0350,7840,3826.53,3356.90,3275.35,3754.67,1.146,3275.35,0,2,998,10356,0,0
38567,8.874,8.863,9.000,9.000,9.000,9.000,0.000,65.58,0.6558,4.255,4.188,65.58,65.58,0.00,0,0,-3.19857,65.58,65.58,0.00,0,0,65.58,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,65.81,65.01,0.81,8.867,8.882,4.077,4.117,0.008,-0.001,0.124,65.58,66,-0.2365,7225,4152.25,3317.11,3275.35,3754.67,1.146,3275.35,0,2,1012,10499,0,0
38703,8.886,8.882,9.000,9.000,9.000,9.000,0.000,65.66,0.6566,4.258,4.190,65.66,65.66,0.00,0,0,-3.21402,65.66,65.66,0.00,0,0,65.66,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,65.81,65.12,0.69,8.886,8.901,4.086,4.057,0.000,-0.001,0.089,65.66,65,0.4944,6783,4422.82,3292.46,3275.35,3754.67,1.146,3275.35,0,2,1029,10689,0,0
38843,8.876,8.883,9.000,9.000,9.000,9.000,0.000,65.87,0.6587,4.259,4.192,65.87,65.87,0.00,0,0,-3.22453,65.87,65.87,0.00,0,0,65.87,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,65.98,65.29,0.69,8.885,8.899,4.095,4.153,-0.010,-0.001,0.090,65.87,66,-0.1346,6697,4479.62,3299.92,3319.28,4533.65,1.366,3319.28,0,2,1044,10867,0,0
38979,8.882,8.891,9.000,9.000,9.000,9.000,0.000,66.01,0.6601,4.259,4.194,66.01,66.01,0.00,0,0,-3.23691,66.01,66.01,0.00,0,0,66.01,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,66.03,65.39,0.64,8.894,8.907,4.098,4.197,-0.013,-0.001,0.077,66.01,66,0.2772,7263,4130.52,3274.35,3319.28,4533.65,1.366,3319.28,0,2,1060,11043,0,0
39082,8.886,8.893,9.000,9.000,9.000,9.000,0.000,66.17,0.6617,4.262,4.196,66.17,66.17,0.00,0,0,-3.24619,66.17,66.17,0.00,0,0,66.17,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,66.30,65.67,0.63,8.895,8.906,4.125,4.242,-0.010,-0.001,0.077,66.17,66,0.4732,7149,4196.39,3296.28,3319.28,4533.65,1.366,3319.28,0,2,1071,11153,0,0
39215,8.902,8.904,9.000,9.000,9.000,9.000,0.000,66.21,0.6621,4.263,4.198,66.21,66.21,0.00,0,0,-3.25454,66.21,66.21,0.00,0,0,66.21,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,66.32,65.75,0.57,8.906,8.917,4.133,4.202,-0.005,-0.001,0.061,66.21,66,-0.1768,7874,3810.01,3304.22,3310.16,4177.11,1.262,3310.16,0,2,1086,11339,0,0
39354,8.896,8.902,9.000,9.000,9.000,9.000,0.000,66.39,0.6639,4.266,4.200,66.39,66.39,0.00,0,0,-3.26278,66.39,66.39,0.00,0,0,66.39,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,66.58,66.00,0.58,8.904,8.913,4.154,4.274,-0.009,-0.001,0.066,66.39,67,-0.3799,7691,3900.66,3307.12,3310.16,4177.11,1.262,3310.16,0,2,1101,11518,0,0
39489,8.900,8.907,9.000,9.000,9.000,9.000,0.000,66.50,0.6650,4.270,4.203,66.50,66.50,0.00,0,0,-3.27092,66.50,66.50,0.00,0,0,66.50,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,66.78,66.22,0.55,8.908,8.916,4.176,4.270,-0.010,-0.001,0.061,66.50,67,-0.1313,6759,4438.53,3308.60,3310.16,4177.11,1.262,3310.16,0,2,1116,11717,0,0
39594,8.904,8.910,9.000,9.000,9.000,9.000,0.000,66.67,0.6667,4.275,4.207,66.67,66.67,0.00,0,0,-3.28128,66.67,66.67,0.00,0,0,66.67,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,67.01,66.47,0.54,8.911,8.918,4.199,4.290,-0.009,-0.001,0.058,66.67,67,0.0632,6315,4750.59,3283.16,3265.50,4490.06,1.375,3265.50,0,2,1128,11830,0,0
39731,8.919,8.922,9.000,9.000,9.000,9.000,0.000,66.68,0.6668,4.278,4.211,66.68,66.68,0.00,0,0,-3.28839,66.68,66.68,0.00,0,0,66.68,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,66.96,66.50,0.46,8.923,8.931,4.202,4.221,-0.005,-0.001,0.043,66.68,67,-0.0225,6700,4477.61,3257.80,3265.50,4490.06,1.375,3265.50,0,2,1143,12030,0,0
39870,8.956,8.944,9.000,9.000,9.000,9.000,0.000,66.54,0.6654,4.278,4.214,66.54,66.54,0.00,0,0,-3.29435,66.54,66.54,0.00,0,0,66.54,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,66.63,66.30,0.33,8.946,8.955,4.184,4.075,0.012,0.000,0.019,66.54,67,-0.1655,7248,4139.07,3261.56,3265.50,4490.06,1.375,3265.50,0,2,1159,12195,0,0
40003,8.927,8.932,9.000,9.000,9.000,9.000,0.000,66.78,0.6678,4.278,4.217,66.78,66.78,0.00,0,0,-3.29992,66.78,66.78,0.00,0,0,66.78,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,66.83,66.44,0.40,8.934,8.942,4.185,4.253,-0.008,-0.001,0.030,66.78,67,-0.1339,8933,3358.33,3339.18,3395.40,4579.84,1.349,3358.33,1,1,1174,12390,0,0
40105,8.951,8.942,9.000,9.000,9.000,9.000,0.000,66.74,0.6674,4.279,4.219,66.74,66.74,0.00,0,0,-3.30368,66.74,66.74,0.00,0,0,66.74,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,66.80,66.46,0.34,8.944,8.952,4.192,4.180,0.008,-0.000,0.021,66.74,66,0.4312,6744,4448.40,3359.42,3395.40,4579.84,1.349,3395.40,0,2,1185,12538,0,0
40239,8.965,8.960,9.000,9.000,9.000,9.000,0.000,66.65,0.6665,4.274,4.223,66.65,66.65,0.00,0,0,-3.30912,66.65,66.65,0.00,0,0,66.65,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,66.46,66.23,0.23,8.962,8.971,4.166,4.111,0.004,0.000,0.009,66.65,67,0.1115,6674,4495.06,3380.66,3395.40,4579.84,1.349,3395.40,0,2,1200,12729,0,0
40377,8.935,8.944,9.000,9.000,9.000,9.000,0.000,66.93,0.6693,4.276,4.225,66.93,66.93,0.00,0,0,-3.31384,66.93,66.93,0.00,0,0,66.93,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,66.90,66.57,0.33,8.945,8.952,4.192,4.300,-0.011,-0.001,0.021,66.93,67,-0.3358,6901,4347.20,3395.56,3411.20,5035.57,1.476,3411.20,0,2,1216,12913,0,0
40511,8.950,8.955,9.000,9.000,9.000,9.000,0.000,66.88,0.6688,4.275,4.228,66.88,66.88,0.00,0,0,-3.31771,66.88,66.88,0.00,0,0,66.88,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,66.82,66.55,0.27,8.956,8.962,4.194,4.233,-0.007,-0.000,0.013,66.88,67,0.1439,6515,4604.76,3403.19,3411.20,5035.57,1.476,3411.20,0,2,1231,13086,0,0
40650,8.942,8.948,9.000,9.000,9.000,9.000,0.000,67.04,0.6704,4.276,4.230,67.04,67.04,0.00,0,0,-3.32166,67.04,67.04,0.00,0,0,67.04,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,67.07,66.76,0.31,8.949,8.953,4.211,4.329,-0.007,-0.001,0.019,67.04,67,-0.1240,6571,4565.52,3407.10,3411.20,5035.57,1.476,3411.20,0,2,1245,13225,0,0
40784,8.982,8.970,9.000,9.000,9.000,9.000,0.000,66.90,0.6690,4.277,4.235,66.90,66.90,0.00,0,0,-3.32789,66.90,66.90,0.00,0,0,66.90,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,66.92,66.75,0.17,8.971,8.976,4.220,4.144,0.012,0.000,0.005,66.90,67,-0.1637,7563,3966.68,3368.68,3282.51,4522.57,1.378,3282.51,0,2,1261,13407,0,0
40886,8.974,8.971,9.000,9.000,9.000,9.000,0.000,66.94,0.6694,4.276,4.236,66.94,66.94,0.00,0,0,-3.32979,66.94,66.94,0.00,0,0,66.94,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,66.89,66.72,0.17,8.972,8.977,4.213,4.175,0.003,-0.000,0.005,66.94,67,-0.2584,9183,3266.91,3334.54,3282.51,4522.57,1.378,3266.91,1,1,1271,13563,0,0
41019,8.983,8.977,9.000,9.000,9.000,9.000,0.000,66.92,0.6692,4.274,4.238,66.92,66.92,0.00,0,0,-3.33243,66.92,66.92,0.00,0,0,66.92,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,66.81,66.67,0.13,8.978,8.983,4.208,4.153,0.006,0.000,0.003,66.92,67,-0.3394,6690,4484.31,3309.15,3282.51,4522.57,1.378,3282.51,0,2,1287,13735,0,0
41160,8.977,8.976,9.000,9.000,9.000,9.000,0.000,67.00,0.6700,4.272,4.242,67.00,67.00,0.00,0,0,-3.33641,67.00,67.00,0.00,0,0,67.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,66.88,66.74,0.14,8.977,8.982,4.211,4.212,-0.001,-0.000,0.003,67.00,67,-0.3108,7625,3934.43,3310.67,3311.41,4280.60,1.293,3311.41,0,2,1301,13895,0,0
41294,8.970,8.981,9.000,9.000,9.000,9.000,0.000,66.98,0.6698,4.268,4.243,66.98,66.98,0.00,0,0,-3.33774,66.98,66.98,0.00,0,0,66.98,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,66.73,66.62,0.11,8.982,8.987,4.197,4.220,-0.013,-0.000,0.003,66.98,67,0.4411,6879,4361.10,3311.03,3311.41,4280.60,1.293,3311.41,0,2,1317,14083,0,0
